library,function,class,line,file,parent_function
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.get_privacy_spent,,134,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_get_privacy_spent_check_target_delta
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,141,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_get_privacy_spent_check_target_eps
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.get_privacy_spent,,142,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_get_privacy_spent_check_target_eps
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,151,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_check_composition
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.get_privacy_spent,,156,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_check_composition
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,159,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_check_composition
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.get_privacy_spent,,163,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_check_composition
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.GaussianSumQueryEntry,,176,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_from_ledger
tensorflow_privacy.privacy.analysis.privacy_ledger,privacy_ledger.SampleEntry,,178,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_from_ledger
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp,,181,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_from_ledger
tensorflow_privacy.privacy.analysis.rdp_accountant,rdp_accountant.compute_rdp_from_ledger,,182,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,test_compute_rdp_from_ledger
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,test_basic
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,45,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,test_fail_on_scalar
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,50,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,test_fail_on_inconsistent_shape
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,test_resize
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py,test_noresize
tensorflow_privacy.privacy.analysis.tensor_buffer,tensor_buffer.TensorBuffer,,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py,test_resize
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,147,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_init_params
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,163,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_bad_init_params
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,187,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_compile
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,214,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_bad_compile
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,283,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,_do_fit
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,387,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_fit_gen
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,473,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_class_calculate
tensorflow_privacy.privacy.bolt_on.models,models.BoltOnModel,,540,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,test_class_errors
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,217,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_fn
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,276,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,project_fn
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,311,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_run
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,346,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_run
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,374,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_run
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,427,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_rerouted_function
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,467,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_run
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,504,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_reroute_attr
tensorflow_privacy.privacy.bolt_on.optimizers,opt.BoltOn,,523,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_attribute_error
tensorflow_privacy.privacy.bolt_on.optimizers,opt.GammaBetaDecreasingStep,,543,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_bad_call
tensorflow_privacy.privacy.bolt_on.optimizers,opt.GammaBetaDecreasingStep,,570,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,test_call
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,37,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,39,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,49,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,64,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_changing_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_changing_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,83,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,85,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_with_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,99,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,get_sample_state
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,110,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_sum_merge
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,125,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_average_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,127,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_average_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,138,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_average_with_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,140,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_gaussian_average_with_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,155,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_incompatible_records
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,157,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,test_incompatible_records
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,40,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,42,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedSumQuery,,45,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,50,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_sum_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,57,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedSumQuery,,62,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,67,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_no_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,76,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedSumQuery,,79,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_gaussian_average_with_clip_no_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,91,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_complex_nested_query
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,93,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_complex_nested_query
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_complex_nested_query
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedSumQuery,,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_complex_nested_query
tensorflow_privacy.privacy.dp_query.test_utils,test_utils.run_query,,104,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_complex_nested_query
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianSumQuery,,114,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_query_with_noise
tensorflow_privacy.privacy.dp_query.gaussian_query,gaussian_query.GaussianAverageQuery,,116,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_query_with_noise
tensorflow_privacy.privacy.dp_query.nested_query,nested_query.NestedSumQuery,,118,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,test_nested_query_with_noise
