library,function,line,file
opacus.utils.module_modification.replace_all_modules,replace_all_modules,159,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.module_modification.convert_batchnorm_modules,convert_batchnorm_modules,171,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.tensor_utils.calc_sample_norms,calc_sample_norms,182,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.tensor_utils.sum_over_all_but_batch_and_last_n,sum_over_all_but_batch_and_last_n,187,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.stats.set_global_summary_writer,stats.set_global_summary_writer,202,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.stats.Stat,stats.Stat,204,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.stats.add,stats.add,210,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.stats.Stat,stats.Stat,210,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.utils.stats.update,stats.update,211,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,21,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_layers_test.py
opacus.layers.DPLSTM,DPLSTM,75,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_layers_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,14,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,20,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.utils.module_modification.convert_batchnorm_modules,convert_batchnorm_modules,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,30,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,44,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,78,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py
opacus.dp_model_inspector.DPModelInspector,DPModelInspector,13,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.PerSampleGradientClipper,PerSampleGradientClipper,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.utils.clipping.ConstantFlatClipper,ConstantFlatClipper,56,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.SequenceBias,SequenceBias,132,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,139,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,142,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,145,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,148,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,156,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPLSTM,DPLSTM,175,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.layers.DPLSTM,DPLSTM,186,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py
opacus.utils.clipping.ConstantFlatClipper,ConstantFlatClipper,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_clip_test.py
opacus.utils.clipping.ConstantPerLayerClipper,ConstantPerLayerClipper,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_clip_test.py
opacus.PerSampleGradientClipper,PerSampleGradientClipper,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_clip_test.py
opacus.PerSampleGradientClipper,PerSampleGradientClipper,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_test.py
opacus.utils.clipping.ConstantFlatClipper,ConstantFlatClipper,35,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_test.py
opacus.layers.SequenceBias,SequenceBias,114,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\per_sample_gradient_test.py
opacus.PrivacyEngine,PrivacyEngine,128,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.utils.module_inspection.get_layer_type,get_layer_type,244,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.utils.module_inspection.get_layer_type,get_layer_type,255,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.utils.module_inspection.requires_grad,requires_grad,285,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.utils.module_inspection.requires_grad,requires_grad,314,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.PrivacyEngine,PrivacyEngine,358,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\privacy_engine_test.py
opacus.PrivacyEngine,PrivacyEngine,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\tests\virtual_step_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,35,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,44,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,62,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,71,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,80,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,96,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,97,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_inspection_test.py
opacus.utils.module_modification.replace_all_modules,mm.replace_all_modules,39,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.replace_all_modules,mm.replace_all_modules,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.nullify_batchnorm_modules,mm.nullify_batchnorm_modules,60,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,69,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.PrivacyEngine,PrivacyEngine,100,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,161,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,169,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,177,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,185,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,193,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom\deep-learning-fairness\opacus\utils\tests\module_modification_test.py
crypten.init,crypten.init,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.uninit,crypten.uninit,35,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.communicator.DistributedCommunicator.is_initialized,DistributedCommunicator.is_initialized,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.uninit,crypten.uninit,70,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.init,crypten.init,75,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.communicator.DistributedCommunicator.is_initialized,DistributedCommunicator.is_initialized,153,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.init,crypten.init,155,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.uninit,crypten.uninit,165,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\context.py
crypten.cryptensor,crypten.cryptensor,64,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\hook\hook.py
crypten.nn.Module,crypten.nn.Module,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\hook\hook.py
crypten.nn.onnx_converter._from_pytorch_to_bytes,_onnx_converter._from_pytorch_to_bytes,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\utils.py
crypten.nn.onnx_converter.from_onnx,_onnx_converter.from_onnx,110,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\utils.py
crypten.communicator.get,comm.get,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\__init__.py
crypten.load_from_party,crypten.load_from_party,69,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\__init__.py
crypten.load_from_party,crypten.load_from_party,72,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\__init__.py
crypten.communicator.get,comm.get,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\crypten\__init__.py
tf_encrypted.serving.QueueServer,tfe.serving.QueueServer,48,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.Session,tfe.Session,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.set_config,tfe.set_config,94,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.protocol.SecureNN,tfe.protocol.SecureNN,96,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.set_protocol,tfe.set_protocol,99,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.clear_initializers,tfe.clear_initializers,100,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.keras.Sequential,tfe.keras.Sequential,111,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\frameworks\keras\model\sequential.py
tf_encrypted.set_config,tfe.set_config,81,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.protocol.SecureNN,tfe.protocol.SecureNN,83,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.set_protocol,tfe.set_protocol,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.serving.QueueClient,tfe.serving.QueueClient,88,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.Session,tfe.Session,93,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.LocalConfig,tfe.LocalConfig,166,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
tf_encrypted.RemoteConfig,tfe.RemoteConfig,175,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis\PriMIA\syft\workers\tfe.py
crypten.communicator.get,mpc_comm.get,12,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.communicator.get,mpc_comm.get,13,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.save,crypten.save,17,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.communicator.get,mpc_comm.get,21,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.communicator.get,mpc_comm.get,22,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.load,crypten.load,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.save,crypten.save,33,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py
crypten.init,crypten.init,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.nn.MSELoss,crypten.nn.MSELoss,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.nn.CrossEntropyLoss,crypten.nn.CrossEntropyLoss,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.communicator.get,comm.get,120,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.communicator.get,comm.get,121,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.nn.from_pytorch,crypten.nn.from_pytorch,163,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.cryptensor,crypten.cryptensor,182,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.cryptensor,crypten.cryptensor,185,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.cryptensor,crypten.cryptensor,187,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.cat,crypten.cat,198,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_evaluate.py
crypten.init,crypten.init,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.nn.MSELoss,crypten.nn.MSELoss,117,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.nn.CrossEntropyLoss,crypten.nn.CrossEntropyLoss,119,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.communicator.get,comm.get,138,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.communicator.get,comm.get,139,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.nn.from_pytorch,crypten.nn.from_pytorch,177,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cryptensor,crypten.cryptensor,209,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cryptensor,crypten.cryptensor,212,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cryptensor,crypten.cryptensor,217,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cat,crypten.cat,230,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cryptensor,crypten.cryptensor,298,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
crypten.cryptensor,crypten.cryptensor,301,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr\ML_2020\Ex3\mpc_train.py
