,library,function,line,file
82,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,91,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
83,tensorflow_privacy.privacy.analysis.rdp_accountant._compute_log_a,rdp_accountant._compute_log_a,113,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
84,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,119,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
85,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,120,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
86,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,127,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
87,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,128,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
88,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,137,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
89,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,142,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
90,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,145,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
91,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,149,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
92,tensorflow_privacy.privacy.analysis.privacy_ledger.GaussianSumQueryEntry,privacy_ledger.GaussianSumQueryEntry,162,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
93,tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
94,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,167,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
95,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp_from_ledger,rdp_accountant.compute_rdp_from_ledger,168,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py
98,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,20,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py
99,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,32,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py
100,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,37,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py
101,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py
102,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,20,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py
103,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,40,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py
104,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexMixin,StrongConvexMixin,56,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
105,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexMixin,StrongConvexMixin,71,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
106,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,95,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
107,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,125,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
108,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,161,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
109,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,200,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
110,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,228,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
111,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,255,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
112,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,295,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
113,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,366,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
114,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,405,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py
115,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,92,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models.py
116,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,134,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
117,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,150,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
118,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,174,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
119,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,201,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
120,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,270,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
121,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,338,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
122,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,374,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
123,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,460,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
124,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,527,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py
125,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,204,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
126,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,263,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
127,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,298,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
128,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,333,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
129,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,361,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
130,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,414,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
131,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,454,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
132,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,491,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
133,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,510,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
134,tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,530,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
135,tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,557,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py
138,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,24,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
139,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
140,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,36,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
141,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,38,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
142,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
143,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,53,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
144,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,70,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py
